1748	chrX	152538353	152539167	CpG: 57	814	57	525	14	64.5	0.68
1749	chrX	152584949	152585278	CpG: 22	329	22	219	13.4	66.6	0.62
1749	chrX	152586898	152587152	CpG: 27	254	27	183	21.3	72	0.82
1749	chrX	152599434	152600076	CpG: 78	642	78	487	24.3	75.9	0.86
1749	chrX	152612775	152613464	CpG: 62	689	62	448	18	65	0.86
1749	chrX	152666147	152666652	CpG: 38	505	38	379	15	75	0.62
1749	chrX	152676702	152677389	CpG: 63	687	63	460	18.3	67	0.82
1749	chrX	152686121	152687199	CpG: 119	1078	119	762	22.1	70.7	0.89
1750	chrX	152710204	152710814	CpG: 49	610	49	421	16.1	69	0.68
1750	chrX	152735784	152736193	CpG: 49	409	49	304	24	74.3	0.94
1750	chrX	152740205	152740657	CpG: 58	452	58	306	25.7	67.7	1.14
1750	chrX	152782937	152783861	CpG: 117	924	117	645	25.3	69.8	1.04
1751	chrX	152864043	152865260	CpG: 128	1217	128	790	21	64.9	1
1751	chrX	152875299	152876145	CpG: 68	846	68	580	16.1	68.6	0.69
1751	chrX	152907595	152908323	CpG: 76	728	76	508	20.9	69.8	0.86
1751	chrX	152909013	152909214	CpG: 20	201	20	143	19.9	71.1	0.88
1751	chrX	152909502	152910069	CpG: 51	567	51	320	18	56.4	1.15
1751	chrX	152912491	152913719	CpG: 115	1228	115	803	18.7	65.4	0.88
1751	chrX	152927589	152928165	CpG: 46	576	46	359	16	62.3	0.83
1751	chrX	152938634	152939544	CpG: 89	910	89	593	19.6	65.2	0.96
1752	chrX	152988874	152991719	CpG: 231	2845	231	1866	16.2	65.6	0.76
1752	chrX	153032468	153033354	CpG: 59	886	59	573	13.3	64.7	0.64
1752	chrX	153038781	153039023	CpG: 18	242	18	170	14.9	70.2	0.6
1752	chrX	153046341	153046768	CpG: 37	427	37	278	17.3	65.1	0.82
1752	chrX	153059275	153060557	CpG: 131	1282	131	872	20.4	68	0.88
1752	chrX	153068787	153070353	CpG: 134	1566	134	1060	17.1	67.7	0.75
1752	chrX	153072554	153072795	CpG: 19	241	19	167	15.8	69.3	0.66
1752	chrX	153084371	153084911	CpG: 58	540	58	388	21.5	71.9	0.83
1753	chrX	153094109	153094620	CpG: 36	511	36	320	14.1	62.6	0.72
1753	chrX	153094946	153096040	CpG: 114	1094	114	780	20.8	71.3	0.82
1753	chrX	153151016	153152219	CpG: 113	1203	113	804	18.8	66.8	0.85
1753	chrX	153191469	153191740	CpG: 35	271	35	202	25.8	74.5	0.93
1753	chrX	153193513	153194074	CpG: 70	561	70	415	25	74	0.91
1753	chrX	153199952	153200924	CpG: 107	972	107	629	22	64.7	1.05
1753	chrX	153218818	153219172	CpG: 28	354	28	228	15.8	64.4	0.78
1753	chrX	153219631	153220640	CpG: 67	1009	67	666	13.3	66	0.62
1754	chrX	153236071	153238480	CpG: 237	2409	237	1532	19.7	63.6	0.98
1754	chrX	153247498	153248052	CpG: 45	554	45	374	16.2	67.5	0.71
1754	chrX	153284685	153285655	CpG: 94	970	94	577	19.4	59.5	1.11
1755	chrX	153362568	153363473	CpG: 106	905	106	586	23.4	64.8	1.12
1755	chrX	153402306	153402674	CpG: 38	368	38	249	20.7	67.7	0.9
1756	chrX	153523741	153524175	CpG: 32	434	32	271	14.7	62.4	0.76
1756	chrX	153561035	153561361	CpG: 27	326	27	217	16.6	66.6	0.76
1756	chrX	153569547	153571439	CpG: 200	1892	200	1319	21.1	69.7	0.87
1756	chrX	153573401	153573623	CpG: 20	222	20	161	18	72.5	0.69
1756	chrX	153585697	153585944	CpG: 25	247	25	168	20.2	68	0.88
1756	chrX	153598874	153600604	CpG: 164	1730	164	1185	19	68.5	0.81
1756	chrX	153602720	153603269	CpG: 52	549	52	296	18.9	53.9	1.3
1756	chrX	153606334	153608237	CpG: 220	1903	220	1345	23.1	70.7	0.93
1756	chrX	153615218	153615440	CpG: 20	222	20	161	18	72.5	0.69
